"","n","err","class"
"185230",185230,0.00390034656277451,3
"185606",185606,0.0039494204918018,3
"186239",186239,0.00420951803242316,3
"186360",186360,0.00403619892551304,3
"186423",186423,0.00401591595656502,3
"186925",186925,0.00322855429740956,3
"187345",187345,0.00341326272244267,3
"187924",187924,0.00295899730655399,3
"187980",187980,0.00266021177698075,3
"189121",189121,0.00216664193109464,3
"189296",189296,0.00192088477293113,3
"190067",190067,0.00249806465644327,3
"190227",190227,0.00259279103856181,3
"190725",190725,0.0025734841577837,3
"190763",190763,0.00258161424595633,3
"191031",191031,0.00299115176056203,3
"191066",191066,0.00296305594024043,3
"191316",191316,0.00284408696933002,3
"191487",191487,0.00282852815260885,3
"191587",191587,0.00308115395036652,3
"191789",191789,0.00295495699818633,3
"192033",192033,0.00255807739013307,3
"192231",192231,0.00276296513001441,3
"192687",192687,0.00321919665321838,3
"192688",192688,0.00321399020965858,3
"193608",193608,0.00300339447026014,3
"193786",193786,0.0028493486016966,3
"193966",193966,0.00299186253400449,3
"194602",194602,0.00312656365867668,3
"197109",197109,0.00128039911543001,3
"197727",197727,0.000857929401407778,3
"198023",198023,0.000913597551368562,3
"198556",198556,0.000473223385369275,3
"199042",199042,0.000520343684278738,3
"199665",199665,0.00087357681490161,3
"201290",201290,0.000229328869550301,3
"202055",202055,0.00134804591993954,3
"203104",203104,0.00217906749695407,3
"203448",203448,0.00189744057380668,3
"203617",203617,0.00189344464162672,3
"203944",203944,0.00135628131172515,3
"205115",205115,0.00182514312895956,3
"205157",205157,0.00186162365118724,3
"205329",205329,0.00164995416493924,3
"205386",205386,0.00161327612029498,3
"205559",205559,0.00187938463209724,3
"205642",205642,0.00210162681220515,3
"205996",205996,0.00240050399619488,3
"206100",206100,0.00242371751733306,3
"206402",206402,0.00225364574508374,3
"206650",206650,0.00205813079709223,3
"207266",207266,0.00233198324933274,3
"209105",209105,0.00290261880086754,3
"211704",211704,0.00281067239627785,3
"211847",211847,0.00311633551159073,3
"212024",212024,0.00302692704012852,3
"212698",212698,0.00283105895347035,3
"212833",212833,0.00280040638722124,3
"213014",213014,0.00278591124737225,3
"213479",213479,0.00255177126898861,3
"214381",214381,0.00244860052808713,3
"214847",214847,0.00235042353117606,3
"216928",216928,0.00127949711185096,3
"217533",217533,0.00209449058091816,3
"220309",220309,0.00121056926482845,3
"220586",220586,0.00107669460761553,3
"221697",221697,0.00164876394117875,3
"221998",221998,0.00136225683977289,3
"224524",224524,0.00139822864385119,3
"224945",224945,0.00168322307688905,3
"225390",225390,0.00164057168250379,3
"225574",225574,0.00170237710711276,3
